application_id,customer_id,applied_at,credit_check_at,decision,decided_at,card_issued_at,requested_credit_limit,approved_credit_limit,created_at,updated_at
app_fo8ipc5g,cust_uu9k9xju,2022-05-06,2022-05-06,approved,2022-05-06,2022-05-12,1000,2000,2022-05-06,2022-05-06
app_im8877xw,cust_i2hgj11y,2022-10-13,2022-10-13,rejected,2022-10-14,,2000,,2022-10-13,2022-10-14
app_sho8r3px,cust_u0dk0get,2024-01-30,2024-01-30,approved,2024-01-31,2024-02-06,500,500,2024-01-30,2024-01-31
app_ojo7bhok,cust_tqyyv37d,2023-05-14,2023-05-14,approved,2023-05-14,2023-05-20,2000,500,2023-05-14,2023-05-14
app_li03gdij,cust_in9n6xcj,2022-09-09,2022-09-09,approved,2022-09-10,2022-09-17,3000,1000,2022-09-09,2022-09-10
app_dztbq56s,cust_8bm92h3t,2023-04-08,2023-04-08,rejected,2023-04-09,,3000,,2023-04-08,2023-04-09
app_gvye4p4v,cust_j99t2d5e,2024-01-24,2024-01-24,rejected,2024-01-24,,3000,,2024-01-24,2024-01-24
app_sfj2zexb,cust_b94pdzp6,2023-11-18,2023-11-18,approved,2023-11-18,2023-11-21,1000,1500,2023-11-18,2023-11-18
app_8r1c4z4a,cust_xid4n1u3,2022-02-24,2022-02-24,approved,2022-02-24,2022-02-28,1500,2000,2022-02-24,2022-02-24
app_e9rkokfx,cust_17mgfxc0,2022-03-21,2022-03-21,approved,2022-03-22,2022-03-27,2000,2000,2022-03-21,2022-03-22
app_tui000li,cust_ll7v5f1b,2022-07-06,2022-07-06,approved,2022-07-06,2022-07-13,2000,500,2022-07-06,2022-07-06
app_vnldcky5,cust_1epkyryb,2024-04-08,2024-04-08,approved,2024-04-09,2024-04-14,5000,2000,2024-04-08,2024-04-09
app_z01ena4p,cust_1kerpeti,2024-01-25,2024-01-25,approved,2024-01-26,2024-01-29,1500,1500,2024-01-25,2024-01-26
app_s6nvci5k,cust_5uuzpeal,2024-08-20,2024-08-20,approved,2024-08-20,2024-08-24,1500,1500,2024-08-20,2024-08-20
app_gwlednud,cust_vsolmlgs,2022-09-10,2022-09-10,approved,2022-09-11,2022-09-18,500,1000,2022-09-10,2022-09-11
app_p9xm35v9,cust_xfdjgf1c,2024-10-30,2024-10-30,approved,2024-10-30,2024-11-06,2000,1000,2024-10-30,2024-10-30
app_r14grhdl,cust_x9l8lpqw,2023-07-20,2023-07-20,rejected,2023-07-20,,500,,2023-07-20,2023-07-20
app_hxd09dt8,cust_nkx9dvnu,2022-04-21,2022-04-21,approved,2022-04-23,2022-04-27,3000,500,2022-04-21,2022-04-23
app_5qxl86hd,cust_fcd6mzsg,2023-06-02,2023-06-02,approved,2023-06-02,2023-06-07,1000,1000,2023-06-02,2023-06-02
app_hvg9sxda,cust_mufm8zov,2022-07-16,2022-07-17,rejected,2022-07-18,,3000,,2022-07-16,2022-07-18
app_vj00ycwq,cust_30ysxpnn,2023-01-27,2023-01-27,rejected,2023-01-27,,2000,,2023-01-27,2023-01-27
app_d7qsc3hw,cust_fk2st0sx,2022-10-08,2022-10-08,approved,2022-10-09,2022-10-14,500,1500,2022-10-08,2022-10-09
app_awppno2u,cust_6zbnz8v1,2024-07-30,2024-07-30,approved,2024-07-31,2024-08-03,5000,1500,2024-07-30,2024-07-31
app_5agbp9gx,cust_gyup12sp,2022-12-24,2022-12-24,rejected,2022-12-24,,2000,,2022-12-24,2022-12-24
app_i7d1nvp7,cust_mabsi9nb,2022-08-17,2022-08-17,approved,2022-08-18,2022-08-25,1500,500,2022-08-17,2022-08-18
app_zx7qmh22,cust_3zezqacj,2022-11-22,2022-11-22,approved,2022-11-22,2022-11-25,500,1000,2022-11-22,2022-11-22
app_abdefjid,cust_kbp2qd6v,2022-02-22,2022-02-22,approved,2022-02-22,2022-02-26,500,1000,2022-02-22,2022-02-22
app_cbt3ztmb,cust_ja2m0w10,2023-11-24,2023-11-24,rejected,2023-11-25,,5000,,2023-11-24,2023-11-25
app_djctdyex,cust_9tj1gm25,2023-12-08,2023-12-08,approved,2023-12-09,2023-12-16,3000,1000,2023-12-08,2023-12-09
app_j07jylev,cust_cxlvpymb,2024-01-03,2024-01-03,approved,2024-01-04,2024-01-11,3000,2000,2024-01-03,2024-01-04
app_unbokylu,cust_yos0fb4y,2024-06-24,2024-06-24,approved,2024-06-24,2024-06-29,1000,1500,2024-06-24,2024-06-24
app_p1md97zp,cust_uvy8n1ut,2024-04-21,2024-04-21,rejected,2024-04-21,,1000,,2024-04-21,2024-04-21
app_lq56xs6y,cust_s6e1zhwy,2024-10-12,2024-10-12,approved,2024-10-13,2024-10-19,1000,1000,2024-10-12,2024-10-13
app_z9l879de,cust_9389yztk,2023-10-02,2023-10-02,approved,2023-10-03,2023-10-06,2000,1000,2023-10-02,2023-10-03
app_wn6apomu,cust_sehe2atn,2022-10-19,2022-10-19,rejected,2022-10-19,,1000,,2022-10-19,2022-10-19
app_qjno8tnv,cust_es53skf7,2023-04-26,2023-04-26,rejected,2023-04-27,,5000,,2023-04-26,2023-04-27
app_zpz2ds95,cust_wtektsg7,2022-12-08,2022-12-08,approved,2022-12-09,2022-12-12,3000,2000,2022-12-08,2022-12-09
app_gtu4l0by,cust_b5c81jhu,2022-03-06,2022-03-06,approved,2022-03-06,2022-03-13,1500,2000,2022-03-06,2022-03-06
app_uljfa7ne,cust_2ykccprh,2022-11-19,2022-11-19,approved,2022-11-19,2022-11-26,2000,500,2022-11-19,2022-11-19
app_oi38dyw9,cust_enulqjid,2023-09-12,2023-09-12,rejected,2023-09-13,,1000,,2023-09-12,2023-09-13
app_sn11vruj,cust_mbr5xqt4,2024-06-22,2024-06-22,approved,2024-06-22,2024-06-26,3000,2000,2024-06-22,2024-06-22
app_tpo3ampf,cust_bunknqt3,2022-09-21,2022-09-21,rejected,2022-09-22,,2000,,2022-09-21,2022-09-22
app_g5d907ws,cust_nfvobbz2,2024-12-16,2024-12-16,approved,2024-12-16,2024-12-21,1000,2000,2024-12-16,2024-12-16
app_f2s5yyev,cust_f90km3tz,2023-09-26,2023-09-26,rejected,2023-09-27,,1500,,2023-09-26,2023-09-27
app_pon439er,cust_l65wvjx8,2023-04-28,2023-04-28,approved,2023-04-28,2023-05-01,1500,2000,2023-04-28,2023-04-28
app_ij9vvmft,cust_40zsu9rn,2023-01-07,2023-01-07,approved,2023-01-08,2023-01-13,5000,1000,2023-01-07,2023-01-08
app_s71nt3yu,cust_y2jr8kk7,2023-09-24,2023-09-24,approved,2023-09-25,2023-09-28,2000,1500,2023-09-24,2023-09-25
app_sxw0xn6r,cust_u7zkut6o,2023-12-11,2023-12-11,approved,2023-12-12,2023-12-16,1500,500,2023-12-11,2023-12-12
app_mn8i95uj,cust_mpjrht7z,2022-11-01,2022-11-01,approved,2022-11-02,2022-11-09,1500,500,2022-11-01,2022-11-02
app_c4wa1bar,cust_8lx6dut0,2022-04-15,2022-04-15,approved,2022-04-16,2022-04-21,1000,2000,2022-04-15,2022-04-16
app_sczlsr9g,cust_9or7875a,2022-08-17,2022-08-17,rejected,2022-08-17,,3000,,2022-08-17,2022-08-17
app_0tjh9asb,cust_6esj3l0x,2023-02-16,2023-02-16,approved,2023-02-16,2023-02-19,1500,500,2023-02-16,2023-02-16
app_6wpbngzc,cust_vwoplod9,2024-09-09,2024-09-09,approved,2024-09-10,2024-09-15,5000,2000,2024-09-09,2024-09-10
app_8526abcb,cust_8k0axyce,2023-10-16,2023-10-16,rejected,2023-10-16,,3000,,2023-10-16,2023-10-16
app_7yg8ev23,cust_yw7nh8rq,2024-02-19,2024-02-19,approved,2024-02-19,2024-02-26,500,500,2024-02-19,2024-02-19
app_i804ikom,cust_hi15cqzc,2022-08-24,2022-08-24,rejected,2022-08-24,,5000,,2022-08-24,2022-08-24
app_kfmvef8w,cust_lsehuds3,2024-08-08,2024-08-08,rejected,2024-08-08,,2000,,2024-08-08,2024-08-08
app_fpex23yq,cust_5ibpt11f,2023-08-23,2023-08-23,rejected,2023-08-24,,2000,,2023-08-23,2023-08-24
app_x6pez0sy,cust_3i59soju,2022-12-28,2022-12-28,rejected,2022-12-29,,1500,,2022-12-28,2022-12-29
app_p1ui8dyn,cust_y2lofn1r,2023-04-10,2023-04-10,approved,2023-04-11,2023-04-17,3000,500,2023-04-10,2023-04-11
app_7lbdk5ak,cust_bc2vyhh6,2023-09-17,2023-09-17,rejected,2023-09-18,,1000,,2023-09-17,2023-09-18
app_m8dgwzi1,cust_9rivh6t1,2024-03-05,2024-03-05,approved,2024-03-06,2024-03-11,1500,2000,2024-03-05,2024-03-06
app_bpxwznu8,cust_q201lhlb,2023-04-13,2023-04-13,rejected,2023-04-13,,1000,,2023-04-13,2023-04-13
app_wf3nwv6x,cust_gzr7txcb,2022-06-03,2022-06-03,rejected,2022-06-03,,3000,,2022-06-03,2022-06-03
app_lvxs3x24,cust_ztkszp7g,2022-08-05,2022-08-05,rejected,2022-08-06,,5000,,2022-08-05,2022-08-06
app_9svz9e3e,cust_2c8qizk3,2022-06-22,2022-06-22,rejected,2022-06-22,,1000,,2022-06-22,2022-06-22
app_vi399gnv,cust_tcagrp2u,2022-08-05,2022-08-06,approved,2022-08-07,2022-08-11,1500,1500,2022-08-05,2022-08-07
app_xamlnt5f,cust_uj7yktxg,2023-10-27,2023-10-27,rejected,2023-10-27,,3000,,2023-10-27,2023-10-27
app_19u6r469,cust_7kuu4ytn,2022-10-16,2022-10-16,approved,2022-10-17,2022-10-21,3000,1000,2022-10-16,2022-10-17
app_97n5qtc4,cust_dicvwv8l,2023-08-02,2023-08-02,rejected,2023-08-02,,1500,,2023-08-02,2023-08-02
app_f3h9s0hm,cust_gvn1kicj,2024-03-16,2024-03-16,approved,2024-03-17,2024-03-21,5000,2000,2024-03-16,2024-03-17
app_0s62tdx4,cust_almjegqt,2024-04-26,2024-04-26,approved,2024-04-27,2024-05-03,1000,2000,2024-04-26,2024-04-27
app_bqlegqcs,cust_cpprcjiw,2023-02-17,2023-02-17,approved,2023-02-17,2023-02-20,500,1000,2023-02-17,2023-02-17
app_ix4r8qgo,cust_n5pp3xvk,2023-02-18,2023-02-18,approved,2023-02-18,2023-02-25,2000,1000,2023-02-18,2023-02-18
app_9zbfszzx,cust_w82lk2n7,2023-03-11,2023-03-12,approved,2023-03-13,2023-03-16,1500,2000,2023-03-11,2023-03-13
app_504qduhu,cust_qzpky32o,2024-11-03,2024-11-03,approved,2024-11-04,2024-11-08,5000,1000,2024-11-03,2024-11-04
app_vpts12tv,cust_nqvut75p,2022-03-31,2022-03-31,approved,2022-04-01,2022-04-05,1000,1000,2022-03-31,2022-04-01
app_4kzb95km,cust_d1xmxb9y,2024-04-12,2024-04-12,approved,2024-04-13,2024-04-20,1000,1000,2024-04-12,2024-04-13
app_098i9k5b,cust_h0uyhnqy,2024-11-06,2024-11-06,approved,2024-11-06,2024-11-09,3000,500,2024-11-06,2024-11-06
app_wz8kc4qi,cust_d30mm2sm,2022-08-06,2022-08-06,approved,2022-08-07,2022-08-13,3000,1000,2022-08-06,2022-08-07
app_y4fcnnjs,cust_e4xyf9ig,2022-12-24,2022-12-24,rejected,2022-12-25,,1000,,2022-12-24,2022-12-25
app_bch1dvug,cust_5glqj5sx,2024-03-08,2024-03-08,rejected,2024-03-09,,5000,,2024-03-08,2024-03-09
app_3k8xl78f,cust_3zkwdeek,2023-01-25,2023-01-25,rejected,2023-01-26,,500,,2023-01-25,2023-01-26
app_87oky16b,cust_zt9d31k9,2024-07-11,2024-07-11,approved,2024-07-12,2024-07-17,5000,1000,2024-07-11,2024-07-12
app_igwsespy,cust_3h0y4vpw,2023-03-30,2023-03-30,approved,2023-03-30,2023-04-03,500,500,2023-03-30,2023-03-30
app_6mq886ko,cust_g9ku8s63,2022-10-18,2022-10-18,rejected,2022-10-19,,1500,,2022-10-18,2022-10-19
app_qxuiejfl,cust_e5iz31yr,2023-07-17,2023-07-17,rejected,2023-07-18,,5000,,2023-07-17,2023-07-18
app_clujy446,cust_o0z5qru5,2022-07-13,2022-07-13,approved,2022-07-14,2022-07-18,1500,1000,2022-07-13,2022-07-14
app_ffsaifau,cust_thphj3mu,2024-10-11,2024-10-11,approved,2024-10-13,2024-10-18,3000,500,2024-10-11,2024-10-13
app_y5tyhhmb,cust_mcxxbw01,2024-06-12,2024-06-12,approved,2024-06-13,2024-06-19,500,500,2024-06-12,2024-06-13
app_v499fs8p,cust_iyaz39pe,2022-06-24,2022-06-25,rejected,2022-06-26,,1500,,2022-06-24,2022-06-26
app_xc3ut36w,cust_kn35xycu,2022-12-26,2022-12-26,approved,2022-12-26,2022-12-29,1500,2000,2022-12-26,2022-12-26
app_wu2myd15,cust_y4dd1vn8,2023-10-13,2023-10-13,rejected,2023-10-14,,2000,,2023-10-13,2023-10-14
app_statad01,cust_zk7a45hv,2023-01-24,2023-01-24,rejected,2023-01-25,,1500,,2023-01-24,2023-01-25
app_cen74iw9,cust_rervt997,2022-09-30,2022-09-30,approved,2022-10-01,2022-10-06,3000,1500,2022-09-30,2022-10-01
app_v55y5i4d,cust_q9cvah78,2024-04-18,2024-04-18,approved,2024-04-18,2024-04-23,2000,2000,2024-04-18,2024-04-18
app_jjdldel7,cust_ctwjlsh3,2023-11-14,2023-11-14,rejected,2023-11-14,,2000,,2023-11-14,2023-11-14
app_ag775g45,cust_z04cdpqv,2023-10-20,2023-10-20,rejected,2023-10-20,,500,,2023-10-20,2023-10-20
app_o5drmm6w,cust_arms3jn0,2023-07-29,2023-07-29,rejected,2023-07-30,,2000,,2023-07-29,2023-07-30
app_p9c238lm,cust_sj9wrsb4,2022-12-12,2022-12-12,approved,2022-12-13,2022-12-20,2000,1000,2022-12-12,2022-12-13
app_ysv7rlm3,cust_isb5iqnf,2022-04-07,2022-04-07,approved,2022-04-08,2022-04-15,3000,1000,2022-04-07,2022-04-08
app_dtey6gay,cust_4ltahukw,2024-08-09,2024-08-09,rejected,2024-08-10,,2000,,2024-08-09,2024-08-10
app_rcwb93gy,cust_t2f7atwy,2022-02-12,2022-02-12,rejected,2022-02-12,,1000,,2022-02-12,2022-02-12
app_tyeg3akn,cust_dde3cup8,2023-05-16,2023-05-16,approved,2023-05-16,2023-05-23,3000,1000,2023-05-16,2023-05-16
app_tjv9zool,cust_lqi7e1dd,2024-08-02,2024-08-02,approved,2024-08-02,2024-08-07,1500,500,2024-08-02,2024-08-02
app_hfw96uej,cust_k3g84utd,2022-08-20,2022-08-20,rejected,2022-08-20,,5000,,2022-08-20,2022-08-20
app_d2nk6t27,cust_e3nwxuj3,2022-03-05,2022-03-05,rejected,2022-03-05,,1500,,2022-03-05,2022-03-05
app_3hzge57k,cust_43e7b7p0,2024-10-30,2024-10-30,rejected,2024-10-30,,2000,,2024-10-30,2024-10-30
app_asroeb9u,cust_k5bwikot,2022-05-21,2022-05-21,rejected,2022-05-21,,500,,2022-05-21,2022-05-21
app_qiluvgla,cust_i9tanzr2,2023-12-12,2023-12-12,approved,2023-12-13,2023-12-19,1000,500,2023-12-12,2023-12-13
app_r42qieri,cust_h62c9t19,2022-12-05,2022-12-05,approved,2022-12-06,2022-12-13,2000,500,2022-12-05,2022-12-06
app_3skwof2s,cust_c9h42m44,2022-12-31,2022-12-31,rejected,2023-01-01,,3000,,2022-12-31,2023-01-01
app_pr8hbgwn,cust_zmuf8438,2023-10-06,2023-10-06,approved,2023-10-07,2023-10-14,2000,2000,2023-10-06,2023-10-07
app_3q6thyg1,cust_48n7odke,2022-12-11,2022-12-11,rejected,2022-12-12,,1000,,2022-12-11,2022-12-12
app_0e4lr377,cust_zu6wmx3n,2023-08-28,2023-08-28,approved,2023-08-28,2023-09-03,500,2000,2023-08-28,2023-08-28
app_svr994v3,cust_98bv78hu,2024-10-18,2024-10-18,rejected,2024-10-19,,500,,2024-10-18,2024-10-19
app_gpgt33rx,cust_5dzx5qji,2022-05-22,2022-05-22,approved,2022-05-24,2022-05-31,2000,2000,2022-05-22,2022-05-24
app_mxx4ayo9,cust_pfo5mn32,2023-04-21,2023-04-21,approved,2023-04-21,2023-04-25,5000,2000,2023-04-21,2023-04-21
app_h071pgac,cust_8cgn0t6d,2024-10-14,2024-10-14,rejected,2024-10-14,,1000,,2024-10-14,2024-10-14
app_z7cpynh8,cust_bl9ot7tx,2023-09-09,2023-09-09,rejected,2023-09-09,,1000,,2023-09-09,2023-09-09
app_4jxyhdeu,cust_mpkxvhag,2023-08-22,2023-08-22,rejected,2023-08-22,,3000,,2023-08-22,2023-08-22
app_59xhpfr5,cust_ydmt8vt4,2024-12-10,2024-12-10,rejected,2024-12-11,,500,,2024-12-10,2024-12-11
app_r00fg5bu,cust_rc6zs62y,2022-11-21,2022-11-21,rejected,2022-11-21,,3000,,2022-11-21,2022-11-21
app_m6qkt2se,cust_3ep9p9w4,2023-06-17,2023-06-17,rejected,2023-06-18,,2000,,2023-06-17,2023-06-18
app_9itj1fms,cust_t4s7azv2,2022-09-02,2022-09-02,rejected,2022-09-02,,1000,,2022-09-02,2022-09-02
app_co1ndcjp,cust_yoo5ybrj,2024-02-04,2024-02-04,approved,2024-02-04,2024-02-08,5000,2000,2024-02-04,2024-02-04
app_kwxxw62a,cust_zd5e9p3j,2024-05-17,2024-05-17,approved,2024-05-17,2024-05-23,3000,500,2024-05-17,2024-05-17
app_e2ob2bb3,cust_iq7zj3sw,2022-10-04,2022-10-04,rejected,2022-10-05,,1500,,2022-10-04,2022-10-05
app_2h7zx65e,cust_rtm4j3da,2022-05-04,2022-05-04,approved,2022-05-04,2022-05-11,1500,1500,2022-05-04,2022-05-04
app_nxj5v1ci,cust_yjoa21a6,2023-01-19,2023-01-19,rejected,2023-01-20,,500,,2023-01-19,2023-01-20
app_3zyq9ow4,cust_8xpnmjqy,2024-04-23,2024-04-23,rejected,2024-04-24,,500,,2024-04-23,2024-04-24
app_yonvuhxb,cust_uvkyrmjl,2023-08-17,2023-08-17,approved,2023-08-18,2023-08-22,1500,1000,2023-08-17,2023-08-18
app_xp316gq1,cust_dej31gym,2022-08-01,2022-08-01,approved,2022-08-02,2022-08-07,2000,1500,2022-08-01,2022-08-02
app_30e3o7ui,cust_nvqebwuw,2024-09-08,2024-09-08,approved,2024-09-09,2024-09-14,3000,500,2024-09-08,2024-09-09
app_y8cfdt7u,cust_lcqh1uf2,2022-07-16,2022-07-16,approved,2022-07-16,2022-07-20,1000,1500,2022-07-16,2022-07-16
app_518gbieo,cust_at0861ta,2022-02-06,2022-02-06,rejected,2022-02-06,,1000,,2022-02-06,2022-02-06
app_q0vwrgpi,cust_5jtb9xxa,2022-09-02,2022-09-02,approved,2022-09-02,2022-09-05,500,1000,2022-09-02,2022-09-02
app_lejb4ed8,cust_v239moft,2023-03-25,2023-03-26,approved,2023-03-26,2023-03-29,2000,1500,2023-03-25,2023-03-26
app_sfqpa5ga,cust_54mype46,2022-02-06,2022-02-07,approved,2022-02-08,2022-02-15,5000,500,2022-02-06,2022-02-08
app_g4611z9e,cust_i85sywp0,2024-10-01,2024-10-01,approved,2024-10-02,2024-10-09,2000,1000,2024-10-01,2024-10-02
app_g6kijcgt,cust_328w6uxq,2023-12-17,2023-12-17,approved,2023-12-18,2023-12-23,2000,1500,2023-12-17,2023-12-18
app_a2lw8e9s,cust_wrxze1hm,2023-09-11,2023-09-11,rejected,2023-09-11,,2000,,2023-09-11,2023-09-11
app_wl11miy0,cust_30ojhe4h,2023-02-08,2023-02-08,approved,2023-02-08,2023-02-12,2000,2000,2023-02-08,2023-02-08
app_4gbx4tvq,cust_6yg3dxvl,2024-03-04,2024-03-04,approved,2024-03-05,2024-03-10,3000,1500,2024-03-04,2024-03-05
app_amff9mor,cust_mk2ev5s4,2023-10-30,2023-10-30,approved,2023-10-31,2023-11-07,500,2000,2023-10-30,2023-10-31
app_eey1zi23,cust_kmy9x8sy,2023-11-16,2023-11-16,approved,2023-11-16,2023-11-19,1000,1000,2023-11-16,2023-11-16
app_551uupmf,cust_zy6t5pad,2024-02-26,2024-02-27,rejected,2024-02-27,,1500,,2024-02-26,2024-02-27
app_fgayi49c,cust_kj4yk1b3,2022-08-21,2022-08-21,approved,2022-08-21,2022-08-28,500,500,2022-08-21,2022-08-21
app_bugug17h,cust_ns2zybno,2023-10-21,2023-10-21,rejected,2023-10-22,,2000,,2023-10-21,2023-10-22
app_ekqufn92,cust_4piwznv0,2023-02-18,2023-02-18,approved,2023-02-18,2023-02-22,3000,1500,2023-02-18,2023-02-18
app_sbrulk9g,cust_tom5xlk8,2024-12-30,2024-12-30,rejected,2024-12-30,,1500,,2024-12-30,2024-12-30
