history_id,customer_id,credit_limit,change_reason,valid_from,updated_at
clh_zxdgdq0u,cust_fk2st0sx,500,initial_approval,2022-10-14,2022-10-14
clh_5p86cugy,cust_6zbnz8v1,1500,initial_approval,2024-08-03,2024-08-03
clh_plx55jzz,cust_mabsi9nb,2000,initial_approval,2022-08-25,2022-08-25
clh_ygd3twdk,cust_3zezqacj,500,initial_approval,2022-11-25,2022-11-25
clh_fu19ba9p,cust_kbp2qd6v,1500,initial_approval,2022-02-26,2022-02-26
clh_cxnum88l,cust_9tj1gm25,2000,initial_approval,2023-12-16,2023-12-16
clh_sjcx8i1f,cust_cxlvpymb,2000,initial_approval,2024-01-11,2024-01-11
clh_y7zlj2n9,cust_yos0fb4y,500,initial_approval,2024-06-29,2024-06-29
clh_x0w80lb1,cust_s6e1zhwy,1000,initial_approval,2024-10-19,2024-10-19
clh_o1fu0wax,cust_9389yztk,500,initial_approval,2023-10-06,2023-10-06
clh_cx1mo2v5,cust_9389yztk,2000,requested_increase,2024-05-24,2024-05-24
clh_cvuqow3r,cust_wtektsg7,1500,initial_approval,2022-12-12,2022-12-12
clh_w1eko900,cust_b5c81jhu,2000,initial_approval,2022-03-13,2022-03-13
clh_ux7huvxw,cust_2ykccprh,1000,initial_approval,2022-11-26,2022-11-26
clh_lr9esw78,cust_mbr5xqt4,500,initial_approval,2024-06-26,2024-06-26
clh_oicc2cop,cust_nfvobbz2,1000,initial_approval,2024-12-21,2024-12-21
clh_3vap15ru,cust_l65wvjx8,1000,initial_approval,2023-05-01,2023-05-01
clh_7u8skcm2,cust_40zsu9rn,2000,initial_approval,2023-01-13,2023-01-13
clh_1gcgw6sd,cust_y2jr8kk7,2000,initial_approval,2023-09-28,2023-09-28
clh_6lvddj8u,cust_u7zkut6o,1000,initial_approval,2023-12-16,2023-12-16
clh_xd2s4cdk,cust_mpjrht7z,1000,initial_approval,2022-11-09,2022-11-09
clh_kt5g2vmb,cust_8lx6dut0,2000,initial_approval,2022-04-21,2022-04-21
clh_w5kiq5t4,cust_6esj3l0x,2000,initial_approval,2023-02-19,2023-02-19
clh_jlj8j4ye,cust_vwoplod9,500,initial_approval,2024-09-15,2024-09-15
clh_o4l1olmh,cust_yw7nh8rq,500,initial_approval,2024-02-26,2024-02-26
clh_ah4opzm5,cust_y2lofn1r,500,initial_approval,2023-04-17,2023-04-17
clh_j6hcg5t7,cust_9rivh6t1,500,initial_approval,2024-03-11,2024-03-11
clh_75vcwps1,cust_tcagrp2u,500,initial_approval,2022-08-11,2022-08-11
clh_m9vzekgx,cust_7kuu4ytn,1000,initial_approval,2022-10-21,2022-10-21
clh_bkpcmlic,cust_gvn1kicj,2000,initial_approval,2024-03-21,2024-03-21
clh_ebva7p8q,cust_gvn1kicj,3000,good_standing,2024-09-04,2024-09-04
clh_30ss1swp,cust_almjegqt,2000,initial_approval,2024-05-03,2024-05-03
clh_ps8suakf,cust_cpprcjiw,2000,initial_approval,2023-02-20,2023-02-20
clh_ffqxpl8t,cust_n5pp3xvk,2000,initial_approval,2023-02-25,2023-02-25
clh_vgj5rc6k,cust_w82lk2n7,1000,initial_approval,2023-03-16,2023-03-16
clh_xlo27vsh,cust_qzpky32o,1000,initial_approval,2024-11-08,2024-11-08
clh_5s4fonuk,cust_nqvut75p,1500,initial_approval,2022-04-05,2022-04-05
clh_1herizw0,cust_nqvut75p,3000,annual_review,2022-12-13,2022-12-13
clh_ylo6p2n2,cust_d1xmxb9y,500,initial_approval,2024-04-20,2024-04-20
clh_nyl0zf4m,cust_h0uyhnqy,2000,initial_approval,2024-11-09,2024-11-09
clh_u3rd2js8,cust_d30mm2sm,500,initial_approval,2022-08-13,2022-08-13
clh_1in8gfli,cust_zt9d31k9,1500,initial_approval,2024-07-17,2024-07-17
clh_f2wmrjls,cust_3h0y4vpw,500,initial_approval,2023-04-03,2023-04-03
clh_3bv4ooc2,cust_3h0y4vpw,2000,annual_review,2023-08-01,2023-08-01
clh_pp48ytdm,cust_o0z5qru5,1000,initial_approval,2022-07-18,2022-07-18
clh_l4aiy7vi,cust_thphj3mu,1000,initial_approval,2024-10-18,2024-10-18
clh_m5c5klpt,cust_mcxxbw01,1000,initial_approval,2024-06-19,2024-06-19
clh_q0pdem2k,cust_kn35xycu,2000,initial_approval,2022-12-29,2022-12-29
clh_bf4vteo4,cust_rervt997,2000,initial_approval,2022-10-06,2022-10-06
clh_o24flzdd,cust_rervt997,5000,annual_review,2023-04-21,2023-04-21
clh_ngeyv95w,cust_q9cvah78,2000,initial_approval,2024-04-23,2024-04-23
clh_mm72q7ls,cust_sj9wrsb4,2000,initial_approval,2022-12-20,2022-12-20
clh_gd5cmali,cust_isb5iqnf,1000,initial_approval,2022-04-15,2022-04-15
clh_p6uxcb2x,cust_dde3cup8,500,initial_approval,2023-05-23,2023-05-23
clh_aasqn8gd,cust_dde3cup8,5000,good_standing,2023-11-08,2023-11-08
clh_3s9su8gt,cust_lqi7e1dd,500,initial_approval,2024-08-07,2024-08-07
clh_jax8npzx,cust_i9tanzr2,1000,initial_approval,2023-12-19,2023-12-19
clh_xrtg3s5a,cust_i9tanzr2,1500,good_standing,2024-07-08,2024-07-08
clh_g9xbqrge,cust_h62c9t19,1000,initial_approval,2022-12-13,2022-12-13
clh_8541i3rs,cust_zmuf8438,500,initial_approval,2023-10-14,2023-10-14
clh_ys1fgp6k,cust_zu6wmx3n,500,initial_approval,2023-09-03,2023-09-03
clh_2zt8e6y9,cust_5dzx5qji,1500,initial_approval,2022-05-31,2022-05-31
clh_lgt8enz8,cust_pfo5mn32,1500,initial_approval,2023-04-25,2023-04-25
clh_f3bjp3i2,cust_yoo5ybrj,1000,initial_approval,2024-02-08,2024-02-08
clh_b5masmpw,cust_zd5e9p3j,1000,initial_approval,2024-05-23,2024-05-23
clh_zfv9n8ek,cust_rtm4j3da,2000,initial_approval,2022-05-11,2022-05-11
clh_kf0jb03n,cust_rtm4j3da,2000,annual_review,2023-02-22,2023-02-22
clh_2v7lft50,cust_uvkyrmjl,1000,initial_approval,2023-08-22,2023-08-22
clh_wo1b8nso,cust_uvkyrmjl,5000,good_standing,2024-03-26,2024-03-26
clh_98hn5wx7,cust_dej31gym,1500,initial_approval,2022-08-07,2022-08-07
clh_25uqfkbf,cust_nvqebwuw,1500,initial_approval,2024-09-14,2024-09-14
clh_czfm14lr,cust_lcqh1uf2,2000,initial_approval,2022-07-20,2022-07-20
clh_xvnn72im,cust_lcqh1uf2,3000,good_standing,2022-10-25,2022-10-25
clh_u8h3x5gg,cust_5jtb9xxa,1000,initial_approval,2022-09-05,2022-09-05
clh_9fk6ard6,cust_v239moft,1000,initial_approval,2023-03-29,2023-03-29
clh_8sx6wr3x,cust_54mype46,1000,initial_approval,2022-02-15,2022-02-15
clh_2qstoted,cust_i85sywp0,500,initial_approval,2024-10-09,2024-10-09
clh_u2vsirbs,cust_328w6uxq,1000,initial_approval,2023-12-23,2023-12-23
clh_yjpd1jw3,cust_30ojhe4h,500,initial_approval,2023-02-12,2023-02-12
clh_22alxb69,cust_30ojhe4h,1500,good_standing,2023-08-08,2023-08-08
clh_3y30qbp2,cust_6yg3dxvl,2000,initial_approval,2024-03-10,2024-03-10
clh_mfa4fl29,cust_mk2ev5s4,500,initial_approval,2023-11-07,2023-11-07
clh_899m6rxl,cust_kmy9x8sy,2000,initial_approval,2023-11-19,2023-11-19
clh_405mpwo6,cust_kj4yk1b3,2000,initial_approval,2022-08-28,2022-08-28
clh_dx02uqyy,cust_4piwznv0,1500,initial_approval,2023-02-22,2023-02-22
clh_fxfr0npo,cust_4piwznv0,1000,annual_review,2024-02-17,2024-02-17
clh_j5d8ea3w,cust_mix7ib5n,1500,initial_approval,2022-09-02,2022-09-02
clh_pcx1oiuk,cust_why4h350,1000,initial_approval,2024-06-16,2024-06-16
clh_divrbkzj,cust_ldb2uuij,2000,initial_approval,2024-03-28,2024-03-28
clh_iqtz27jq,cust_oxrteo2t,500,initial_approval,2022-11-21,2022-11-21
clh_6uw8sig8,cust_8a5fbuot,500,initial_approval,2022-07-24,2022-07-24
clh_1uowb7bf,cust_xsfh4gg2,500,initial_approval,2022-05-21,2022-05-21
clh_rat8ibqn,cust_kcd0rlex,500,initial_approval,2022-08-11,2022-08-11
clh_yfpijfr2,cust_ccasbuov,1000,initial_approval,2022-04-20,2022-04-20
clh_q6qcgbu8,cust_ccasbuov,1500,good_standing,2023-03-15,2023-03-15
clh_rl7dc0kw,cust_1ffuu5f0,1000,initial_approval,2024-02-09,2024-02-09
clh_il7m25xu,cust_vsffcxhg,500,initial_approval,2024-02-13,2024-02-13
clh_wle1f54i,cust_ofu1wsgy,1000,initial_approval,2024-08-07,2024-08-07
clh_ly9yg00r,cust_361xsnbt,1000,initial_approval,2023-04-23,2023-04-23
clh_tyx3mkh6,cust_snh2odpv,500,initial_approval,2023-07-15,2023-07-15
clh_tqvrxq7r,cust_ra47sh2s,1500,initial_approval,2023-05-14,2023-05-14
clh_miovqup8,cust_djoyohaz,500,initial_approval,2022-08-02,2022-08-02
clh_9s9raaos,cust_3i8qoags,1000,initial_approval,2022-06-29,2022-06-29
clh_c1i5yeid,cust_t2jpnrim,1500,initial_approval,2024-08-11,2024-08-11
clh_1ihqmgg5,cust_n2hz2omt,2000,initial_approval,2023-07-27,2023-07-27
clh_wb0rv755,cust_7rm6j8y6,1500,initial_approval,2024-11-20,2024-11-20
clh_1p60huef,cust_bm41qesl,500,initial_approval,2022-02-13,2022-02-13
clh_0kwth74v,cust_jtiqwnrh,2000,initial_approval,2024-03-05,2024-03-05
clh_ql5glf5l,cust_y3z2t4h2,2000,initial_approval,2022-11-16,2022-11-16
clh_w3ekqpim,cust_g4eij00h,2000,initial_approval,2024-04-01,2024-04-01
clh_mmugr5pi,cust_o1cjfx5l,1000,initial_approval,2023-06-11,2023-06-11
clh_56sivmu8,cust_1ektyr1k,1000,initial_approval,2024-06-27,2024-06-27
clh_h3onzrqw,cust_5pizx3hc,1500,initial_approval,2023-06-11,2023-06-11
clh_ygcia6ch,cust_xtjgcedq,2000,initial_approval,2024-08-07,2024-08-07
clh_kigybpiw,cust_tgdjz0if,1500,initial_approval,2024-11-07,2024-11-07
clh_63l6e5ih,cust_79wcxz2e,1500,initial_approval,2023-05-02,2023-05-02
clh_e8rlqse4,cust_0an0jbzu,1500,initial_approval,2024-10-09,2024-10-09
clh_vfe8r3xy,cust_36tcfkjn,1500,initial_approval,2022-01-11,2022-01-11
clh_2zwu6r06,cust_36tcfkjn,1000,annual_review,2022-12-14,2022-12-14
clh_n0wzehym,cust_nwlc83gy,1500,initial_approval,2022-12-16,2022-12-16
clh_mixurli7,cust_c4e5hrdu,1000,initial_approval,2024-04-02,2024-04-02
clh_9vavqrpb,cust_cwt04chs,1500,initial_approval,2022-08-09,2022-08-09
clh_tc4qwmww,cust_wg0odwmq,1500,initial_approval,2024-06-02,2024-06-02
clh_zrfh29b3,cust_f9pml9ln,1500,initial_approval,2024-06-17,2024-06-17
clh_yme4ftpy,cust_t0mq8abk,1500,initial_approval,2022-02-11,2022-02-11
clh_q7je4cdr,cust_t0mq8abk,2000,annual_review,2022-11-30,2022-11-30
clh_dntm7t2e,cust_4a3yjtu7,1500,initial_approval,2022-11-22,2022-11-22
clh_oo0qpt5q,cust_vk0ucc1m,2000,initial_approval,2024-07-05,2024-07-05
clh_vvn2ifbi,cust_1udp2fmr,1500,initial_approval,2022-05-08,2022-05-08
clh_3hhtzyvb,cust_1udp2fmr,3000,requested_increase,2023-03-29,2023-03-29
clh_4xgn2rhj,cust_ypmlvak9,1500,initial_approval,2024-07-25,2024-07-25
clh_y0bcrq8c,cust_hzjq8cxx,2000,initial_approval,2024-02-10,2024-02-10
clh_1xtsaygb,cust_n9dl5tgs,500,initial_approval,2024-08-29,2024-08-29
clh_zdtl69lr,cust_r0aymk99,2000,initial_approval,2023-08-21,2023-08-21
clh_0g49hex2,cust_767j2dg1,1000,initial_approval,2023-07-26,2023-07-26
clh_4bmdegmj,cust_jo091c79,500,initial_approval,2024-10-11,2024-10-11
clh_2i5y67hq,cust_so0uswbk,500,initial_approval,2024-04-21,2024-04-21
clh_efpslpuu,cust_08kg68a1,1000,initial_approval,2022-02-09,2022-02-09
clh_jlhhjuwq,cust_ivrocvit,1500,initial_approval,2023-03-15,2023-03-15
clh_6latyx9h,cust_y4k7bpgy,500,initial_approval,2023-01-17,2023-01-17
clh_4g1kaj6m,cust_y4k7bpgy,3000,annual_review,2023-06-16,2023-06-16
clh_zjcqd3w9,cust_euswrgvz,1000,initial_approval,2023-02-06,2023-02-06
clh_end2vafo,cust_elou83g4,1500,initial_approval,2024-10-12,2024-10-12
clh_mf5q67ed,cust_6tm2o04k,1000,initial_approval,2023-11-04,2023-11-04
clh_abbu9x8m,cust_hbn5elb4,2000,initial_approval,2022-07-09,2022-07-09
clh_2n6w7tbv,cust_t91qe37q,1500,initial_approval,2024-08-06,2024-08-06
clh_34onh9xx,cust_g1ved32l,1000,initial_approval,2022-06-20,2022-06-20
clh_tfkbccio,cust_t9nm3v2p,1500,initial_approval,2023-12-24,2023-12-24
clh_bd37l0j1,cust_xchfu131,1000,initial_approval,2022-11-29,2022-11-29
clh_rzxqpadn,cust_ntxrgn74,2000,initial_approval,2022-11-22,2022-11-22
clh_6tmvksl9,cust_f5x9ee34,1500,initial_approval,2024-06-02,2024-06-02
clh_sjd87h8g,cust_ipar0zj7,1500,initial_approval,2024-02-03,2024-02-03
clh_c68qfubm,cust_ipar0zj7,1500,requested_increase,2024-09-29,2024-09-29
clh_pvni5vu0,cust_kgzvk2jw,2000,initial_approval,2023-01-11,2023-01-11
clh_uk4v0404,cust_rec2jwjj,500,initial_approval,2022-08-30,2022-08-30
clh_sjj488b1,cust_rec2jwjj,2000,annual_review,2023-06-27,2023-06-27
clh_49g4ind5,cust_0gu4bj3b,500,initial_approval,2024-09-02,2024-09-02
clh_bcmasc4u,cust_nzrf5a7q,500,initial_approval,2023-11-04,2023-11-04
clh_tc82o7ld,cust_w0fgzvrc,1500,initial_approval,2023-10-14,2023-10-14
clh_h5dcp9kb,cust_a6wixaw6,1500,initial_approval,2022-08-18,2022-08-18
clh_jov7zjgx,cust_w1aragdx,2000,initial_approval,2023-08-26,2023-08-26
clh_vcl57uuk,cust_xso7vbgr,500,initial_approval,2022-08-03,2022-08-03
clh_xda9a59c,cust_xso7vbgr,1500,requested_increase,2023-07-16,2023-07-16
clh_91k9ihhx,cust_etdn1th1,1000,initial_approval,2023-04-04,2023-04-04
clh_73ybxthr,cust_re6zvlhy,1000,initial_approval,2023-11-15,2023-11-15
clh_c9ow435n,cust_h6cvbphv,1000,initial_approval,2023-01-13,2023-01-13
clh_8tk16dzf,cust_6utios5h,1500,initial_approval,2024-09-14,2024-09-14
clh_lh75i30p,cust_lu6vfua9,1500,initial_approval,2022-04-14,2022-04-14
clh_pmya5ykr,cust_3zdrc1yo,1000,initial_approval,2023-04-09,2023-04-09
clh_876oqkgl,cust_wnytk1zw,1500,initial_approval,2023-03-18,2023-03-18
clh_njqwx3f3,cust_wnytk1zw,1500,annual_review,2023-08-08,2023-08-08
clh_mxy5vto9,cust_s3qt36qn,1000,initial_approval,2022-05-21,2022-05-21
clh_irr4df20,cust_s3qt36qn,1500,annual_review,2022-10-12,2022-10-12
clh_v6slc4k2,cust_8cfeffh8,1500,initial_approval,2022-03-11,2022-03-11
clh_may7ra29,cust_8cfeffh8,3000,requested_increase,2022-07-10,2022-07-10
clh_6cpu8vky,cust_ttqu6l2i,1000,initial_approval,2024-02-17,2024-02-17
clh_9mvi9rh5,cust_07merbye,1000,initial_approval,2022-03-16,2022-03-16
clh_27rj6ce3,cust_07merbye,3000,requested_increase,2022-11-25,2022-11-25
clh_5jikep8p,cust_cyozpnam,1500,initial_approval,2023-10-15,2023-10-15
clh_jwom829t,cust_cyozpnam,2000,requested_increase,2024-10-01,2024-10-01
clh_i5yahjq1,cust_kvr0i2fk,1000,initial_approval,2024-09-10,2024-09-10
clh_s8rxu1xa,cust_ydu3asnr,500,initial_approval,2023-12-25,2023-12-25
clh_sr1nd36d,cust_2uy84zz2,500,initial_approval,2024-06-08,2024-06-08
clh_lme8t42k,cust_2uy84zz2,2000,annual_review,2024-09-27,2024-09-27
clh_dkxp64dl,cust_ln36v1mz,2000,initial_approval,2022-03-10,2022-03-10
clh_i9mlqd69,cust_lh9p1ear,1500,initial_approval,2024-06-14,2024-06-14
clh_b4cb81us,cust_8mfs0iud,500,initial_approval,2022-02-16,2022-02-16
clh_5degcozh,cust_a0774rzg,500,initial_approval,2022-09-13,2022-09-13
clh_wyn0kbvd,cust_a0774rzg,2000,annual_review,2023-03-05,2023-03-05
clh_ocvt88cd,cust_e9ede1zu,1500,initial_approval,2022-04-18,2022-04-18
clh_sva48z77,cust_y4io9p46,1000,initial_approval,2024-09-29,2024-09-29
clh_xpxf89w5,cust_kw1xsrqk,1000,initial_approval,2024-11-07,2024-11-07
clh_ygosjvxu,cust_8bp6nlnq,1000,initial_approval,2022-04-11,2022-04-11
clh_hws5817h,cust_8bp6nlnq,5000,good_standing,2022-08-26,2022-08-26
clh_6uo0cjk7,cust_p9ociild,2000,initial_approval,2022-06-08,2022-06-08
clh_jacbavkq,cust_p9ociild,1000,good_standing,2022-11-17,2022-11-17
clh_rybk7cvc,cust_2pthowq1,2000,initial_approval,2023-02-03,2023-02-03
clh_mgkggz9z,cust_x37jw346,1500,initial_approval,2022-05-25,2022-05-25
clh_7jskp2fn,cust_x37jw346,1000,requested_increase,2023-05-11,2023-05-11
clh_im77a1nh,cust_kpl3cho3,1000,initial_approval,2022-12-18,2022-12-18
clh_av7p95mx,cust_kpl3cho3,1000,annual_review,2023-06-03,2023-06-03
clh_8mh8m3qz,cust_i3qupxbf,2000,initial_approval,2022-10-30,2022-10-30
clh_57gwj6ru,cust_b02b6lkc,2000,initial_approval,2024-04-28,2024-04-28
clh_1j3od397,cust_b02b6lkc,3000,requested_increase,2024-09-11,2024-09-11
clh_gnmxdutd,cust_lvo0ipfg,2000,initial_approval,2023-08-11,2023-08-11
clh_c25hthp8,cust_lvo0ipfg,1500,requested_increase,2024-06-12,2024-06-12
clh_y0nwp9jj,cust_x7y2itl8,1500,initial_approval,2024-02-15,2024-02-15
clh_sqzde4wq,cust_a877k71k,2000,initial_approval,2022-12-18,2022-12-18
clh_yr9blfkd,cust_b537qo4z,500,initial_approval,2022-08-04,2022-08-04
clh_l9vw46e0,cust_2hog585i,1500,initial_approval,2022-03-16,2022-03-16
clh_d4xxm0n9,cust_0bjwkon8,1000,initial_approval,2022-04-28,2022-04-28
clh_mg44m2ea,cust_eltfebe5,2000,initial_approval,2023-08-29,2023-08-29
clh_zawv16ya,cust_eltfebe5,2000,annual_review,2024-03-17,2024-03-17
clh_ss4zmw26,cust_1jl6l91f,2000,initial_approval,2024-07-19,2024-07-19
clh_4ro3m77a,cust_zp97bmzr,1500,initial_approval,2024-10-22,2024-10-22
clh_z4xd4xkz,cust_8va8x8l0,2000,initial_approval,2022-10-25,2022-10-25
clh_wvv7z4d3,cust_erp3lyex,1500,initial_approval,2024-02-21,2024-02-21
clh_nelrurdc,cust_bdpdxujj,2000,initial_approval,2022-06-26,2022-06-26
clh_ty7x29bv,cust_w9myyoke,2000,initial_approval,2022-03-03,2022-03-03
clh_hd4ugu7v,cust_u09bos07,500,initial_approval,2024-10-23,2024-10-23
clh_jp8qh8yk,cust_jx6ewxqp,1500,initial_approval,2022-12-10,2022-12-10
clh_gb1dnwxb,cust_6mv4xekz,2000,initial_approval,2024-06-10,2024-06-10
clh_z2k200vc,cust_mmb5jfys,2000,initial_approval,2022-09-05,2022-09-05
clh_ma5qh3rj,cust_ddv283bd,1000,initial_approval,2022-09-08,2022-09-08
clh_6i32tczy,cust_s0dxme4p,1500,initial_approval,2024-05-23,2024-05-23
clh_vizviuen,cust_gjzowi1t,1500,initial_approval,2023-05-04,2023-05-04
clh_0sisi97i,cust_lm36vfox,2000,initial_approval,2024-07-23,2024-07-23
clh_th5pirto,cust_6tj3kps0,2000,initial_approval,2024-02-22,2024-02-22
clh_3bq7i8fd,cust_ufn0dsg2,2000,initial_approval,2024-07-28,2024-07-28
clh_juxzdwlp,cust_0pfsrq8s,2000,initial_approval,2024-12-29,2024-12-29
clh_lb889lby,cust_n8voeubf,1500,initial_approval,2024-02-06,2024-02-06
clh_bhkbt68j,cust_2p7kkg0a,500,initial_approval,2024-01-07,2024-01-07
clh_ec0dzqcg,cust_2p7kkg0a,2000,good_standing,2024-10-21,2024-10-21
clh_7c9zjohd,cust_mn44eew1,2000,initial_approval,2024-07-28,2024-07-28
clh_csylbai6,cust_n6mbypjd,2000,initial_approval,2023-01-12,2023-01-12
clh_6bfuew10,cust_eugwubug,1000,initial_approval,2024-09-26,2024-09-26
clh_7zj969o7,cust_jh34udtl,1000,initial_approval,2022-04-18,2022-04-18
clh_whofoemx,cust_tnd9tkg1,2000,initial_approval,2022-12-12,2022-12-12
clh_gwuw7t06,cust_acololn3,1500,initial_approval,2022-10-02,2022-10-02
clh_ftejisv1,cust_2kodwh8n,500,initial_approval,2023-01-10,2023-01-10
clh_0qsxsm09,cust_aq3k8a7r,2000,initial_approval,2023-06-20,2023-06-20
clh_btrfwnza,cust_sb0ukoef,2000,initial_approval,2023-08-13,2023-08-13
clh_kh8u4mms,cust_8w9zjxlh,2000,initial_approval,2023-11-25,2023-11-25
clh_q89hh1bu,cust_8nvn439e,500,initial_approval,2024-02-20,2024-02-20
clh_fwliwnzo,cust_7mdwkzir,1500,initial_approval,2024-02-04,2024-02-04
clh_jf7i3dao,cust_7mdwkzir,2000,annual_review,2024-05-16,2024-05-16
clh_q10qllq8,cust_9wdjsgg0,1500,initial_approval,2023-01-09,2023-01-09
clh_8d409xln,cust_is2gy9yt,2000,initial_approval,2023-06-20,2023-06-20
clh_yh2br0sd,cust_x4l4oesr,1500,initial_approval,2024-12-17,2024-12-17
clh_erpac33a,cust_qahcua09,2000,initial_approval,2024-06-19,2024-06-19
clh_tg1rw5r5,cust_wbpa274i,1500,initial_approval,2024-09-03,2024-09-03
clh_pm224aa5,cust_2bvpdcb4,500,initial_approval,2024-04-07,2024-04-07
clh_jcfkiawz,cust_an25wm72,1000,initial_approval,2024-08-19,2024-08-19
clh_a753rxdx,cust_81l51flm,500,initial_approval,2024-02-06,2024-02-06
